GCF_023699985.2_Ovbor_1.2_genomic.fna	Odocoileus_virginianus
GCA_964270355.1_Elg.assembly.v.1.0_genomic.fna	Alces_alces
GCF_910594005.1_mCerEla1.1_genomic.fna	Cervus_elaphus
